subject_drug_drugbank_id,subject_drug_name,affected_drug_drugbank_id,affected_drug_name,summary,extended_description,severity,evidence_level,management
DB01222,Budesonide,DB00563,Methotrexate,The metabolism of Methotrexate can be increased when combined with Budesonide.,"The subject drug is a CYP3A4 enzyme inducer of unknown strength, and the affected drug is metabolized by the CYP3A4 enzyme. Concomitant administration of these agents will induce the metabolism of the CYP3A4 substrate (affected drug), reducing the serum concentration and therapeutic effect. Drugs with a narrow therapeutic index must be maintained within a specific concentration range in order to be safe and efficacious. Reduced concentration of a drug with a narrow therapeutic index may lead to significantly lower efficacy.[A15702,A33234,A38501,A38512,L4497]",2,2,"The co-administration of these drugs should be avoided, or undertaken with extreme caution when necessary."
DB00394,Beclomethasone dipropionate,DB00563,Methotrexate,The metabolism of Methotrexate can be increased when combined with Beclomethasone dipropionate.,"The subject drug is a CYP3A4 enzyme inducer of unknown strength, and the affected drug is metabolized by the CYP3A4 enzyme. Concomitant administration of these agents will induce the metabolism of the CYP3A4 substrate (affected drug), reducing the serum concentration and therapeutic effect. Drugs with a narrow therapeutic index must be maintained within a specific concentration range in order to be safe and efficacious. Reduced concentration of a drug with a narrow therapeutic index may lead to significantly lower efficacy.[A15702,A33234,A38501,A38512,L4497]",2,2,"The co-administration of these drugs should be avoided, or undertaken with extreme caution when necessary."
DB00316,Acetaminophen,DB00563,Methotrexate,The metabolism of Methotrexate can be increased when combined with Acetaminophen.,"The subject drug is a CYP3A4 enzyme inducer of unknown strength, and the affected drug is metabolized by the CYP3A4 enzyme. Concomitant administration of these agents will induce the metabolism of the CYP3A4 substrate (affected drug), reducing the serum concentration and therapeutic effect. Drugs with a narrow therapeutic index must be maintained within a specific concentration range in order to be safe and efficacious. Reduced concentration of a drug with a narrow therapeutic index may lead to significantly lower efficacy.[A15702,A33234,A38501,A38512,L4497]",2,2,"The co-administration of these drugs should be avoided, or undertaken with extreme caution when necessary."
DB01167,Itraconazole,DB00682,Warfarin,The metabolism of Warfarin can be decreased when combined with Itraconazole.,"The subject drug is a strong CYP3A4 enzyme inhibitor, and the affected drug is metabolized by the CYP3A4 enzyme. Concomitant administration of these agents will decrease the metabolism of the CYP3A4 substrate, increasing its serum concentration and therapeutic effect. Drugs with a narrow therapeutic index must be maintained within a specific concentration range in order to be safe and efficacious. An increased concentration of a drug with a narrow therapeutic index can lead to significant adverse effects and toxicity.[A15702,A33234,A38501,A38512]",2,1,"The co-administration of these drugs should be avoided, or undertaken with extreme caution when necessary.[A14980,L4497] Consult appropriate manufacturer labeling."
DB01211,Clarithromycin,DB00682,Warfarin,The metabolism of Warfarin can be decreased when combined with Clarithromycin.,"The subject drug is a strong CYP3A4 enzyme inhibitor, and the affected drug is metabolized by the CYP3A4 enzyme. Concomitant administration of these agents will decrease the metabolism of the CYP3A4 substrate, increasing its serum concentration and therapeutic effect. Drugs with a narrow therapeutic index must be maintained within a specific concentration range in order to be safe and efficacious. An increased concentration of a drug with a narrow therapeutic index can lead to significant adverse effects and toxicity.[A15702,A33234,A38501,A38512]",2,1,"The co-administration of these drugs should be avoided, or undertaken with extreme caution when necessary.[A14980,L4497] Consult appropriate manufacturer labeling."
DB01167,Itraconazole,DB00563,Methotrexate,The metabolism of Methotrexate can be decreased when combined with Itraconazole.,"The subject drug is a strong CYP3A4 enzyme inhibitor, and the affected drug is metabolized by the CYP3A4 enzyme. Concomitant administration of these agents will decrease the metabolism of the CYP3A4 substrate, increasing its serum concentration and therapeutic effect. Drugs with a narrow therapeutic index must be maintained within a specific concentration range in order to be safe and efficacious. An increased concentration of a drug with a narrow therapeutic index can lead to significant adverse effects and toxicity.[A15702,A33234,A38501,A38512]",2,1,"The co-administration of these drugs should be avoided, or undertaken with extreme caution when necessary.[A14980,L4497] Consult appropriate manufacturer labeling."
DB01211,Clarithromycin,DB00563,Methotrexate,The metabolism of Methotrexate can be decreased when combined with Clarithromycin.,"The subject drug is a strong CYP3A4 enzyme inhibitor, and the affected drug is metabolized by the CYP3A4 enzyme. Concomitant administration of these agents will decrease the metabolism of the CYP3A4 substrate, increasing its serum concentration and therapeutic effect. Drugs with a narrow therapeutic index must be maintained within a specific concentration range in order to be safe and efficacious. An increased concentration of a drug with a narrow therapeutic index can lead to significant adverse effects and toxicity.[A15702,A33234,A38501,A38512]",2,1,"The co-administration of these drugs should be avoided, or undertaken with extreme caution when necessary.[A14980,L4497] Consult appropriate manufacturer labeling."
DB00501,Cimetidine,DB00563,Methotrexate,The metabolism of Methotrexate can be decreased when combined with Cimetidine.,"The subject drug is a CYP3A4 enzyme inhibitor, and the affected drug is metabolized by the CYP3A4 enzyme. Concomitant administration of these agents will decrease the metabolism of the CYP3A4 substrate (affected drug), increasing the serum concentration and therapeutic effect. Drugs with a narrow therapeutic index must be maintained within a specific concentration range in order to be safe and efficacious. An increased concentration of a drug with a narrow therapeutic index may lead to significant adverse effects and toxicity.[A15702,A33234,A38501,A38512]",2,2,"It is not advisable to administer these drugs concurrently, as adverse effects or toxicity may result from the affected drug, which has a narrow therapeutic index.[A179470,L4497] Refer to each product label for specific recommendations."
DB00215,Citalopram,DB00563,Methotrexate,The metabolism of Methotrexate can be decreased when combined with Citalopram.,"The subject drug is a CYP3A4 enzyme inhibitor, and the affected drug is metabolized by the CYP3A4 enzyme. Concomitant administration of these agents will decrease the metabolism of the CYP3A4 substrate (affected drug), increasing the serum concentration and therapeutic effect. Drugs with a narrow therapeutic index must be maintained within a specific concentration range in order to be safe and efficacious. An increased concentration of a drug with a narrow therapeutic index may lead to significant adverse effects and toxicity.[A15702,A33234,A38501,A38512]",2,2,"It is not advisable to administer these drugs concurrently, as adverse effects or toxicity may result from the affected drug, which has a narrow therapeutic index.[A179470,L4497] Refer to each product label for specific recommendations."
DB00472,Fluoxetine,DB00563,Methotrexate,The metabolism of Methotrexate can be decreased when combined with Fluoxetine.,"The subject drug is a CYP3A4 enzyme inhibitor, and the affected drug is metabolized by the CYP3A4 enzyme. Concomitant administration of these agents will decrease the metabolism of the CYP3A4 substrate (affected drug), increasing the serum concentration and therapeutic effect. Drugs with a narrow therapeutic index must be maintained within a specific concentration range in order to be safe and efficacious. An increased concentration of a drug with a narrow therapeutic index may lead to significant adverse effects and toxicity.[A15702,A33234,A38501,A38512]",2,2,"It is not advisable to administer these drugs concurrently, as adverse effects or toxicity may result from the affected drug, which has a narrow therapeutic index.[A179470,L4497] Refer to each product label for specific recommendations."
DB00381,Amlodipine,DB00682,Warfarin,The metabolism of Warfarin can be decreased when combined with Amlodipine.,"The subject drug is a CYP3A4 enzyme inhibitor, and the affected drug is metabolized by the CYP3A4 enzyme. Concomitant administration of these agents will decrease the metabolism of the CYP3A4 substrate (affected drug), increasing the serum concentration and therapeutic effect. Drugs with a narrow therapeutic index must be maintained within a specific concentration range in order to be safe and efficacious. An increased concentration of a drug with a narrow therapeutic index may lead to significant adverse effects and toxicity.[A15702,A33234,A38501,A38512]",2,2,"It is not advisable to administer these drugs concurrently, as adverse effects or toxicity may result from the affected drug, which has a narrow therapeutic index.[A179470,L4497] Refer to each product label for specific recommendations."
DB00381,Amlodipine,DB00563,Methotrexate,The metabolism of Methotrexate can be decreased when combined with Amlodipine.,"The subject drug is a CYP3A4 enzyme inhibitor, and the affected drug is metabolized by the CYP3A4 enzyme. Concomitant administration of these agents will decrease the metabolism of the CYP3A4 substrate (affected drug), increasing the serum concentration and therapeutic effect. Drugs with a narrow therapeutic index must be maintained within a specific concentration range in order to be safe and efficacious. An increased concentration of a drug with a narrow therapeutic index may lead to significant adverse effects and toxicity.[A15702,A33234,A38501,A38512]",2,2,"It is not advisable to administer these drugs concurrently, as adverse effects or toxicity may result from the affected drug, which has a narrow therapeutic index.[A179470,L4497] Refer to each product label for specific recommendations."
DB01098,Rosuvastatin,DB00682,Warfarin,The metabolism of Warfarin can be decreased when combined with Rosuvastatin.,"The subject drug is a CYP3A4 substrate and the affected drug is a CYP3A4 substrate with a narrow therapeutic index. Competition for metabolism may occur, as both drugs are substrates of the same metabolizing enzyme. Drugs with a narrow therapeutic index must be maintained within a specific concentration range in order to be safe and efficacious. An increased concentration of a drug with a narrow therapeutic index due to competition for metabolism may lead to serious adverse effects and toxicity.",1,2,"Avoid concomitant use of these drugs and seek alternatives when possible. If this combination cannot be avoided, exercise caution and monitor the patient. Interruption of therapy or dose adjustments may be required."
DB01222,Budesonide,DB00514,Dextromethorphan,The metabolism of Dextromethorphan can be increased when combined with Budesonide.,"The subject is a moderate inducer of the CYP3A5 enzyme, and the affected drug is a substrate of the CYP3A5 enzyme. When these drugs are administered concomitantly, the metabolism of the affected drug is increased, decreasing serum concentrations and lowering the efficacy.",1,2,"Avoid this combination when possible. If this combination is clinically required, monitor for the efficacy of the substrate drug. Dose adjustments may be required."
DB01222,Budesonide,DB00758,Clopidogrel,The metabolism of Clopidogrel can be increased when combined with Budesonide.,"The subject is a moderate inducer of the CYP3A5 enzyme, and the affected drug is a substrate of the CYP3A5 enzyme. When these drugs are administered concomitantly, the metabolism of the affected drug is increased, decreasing serum concentrations and lowering the efficacy.",1,2,"Avoid this combination when possible. If this combination is clinically required, monitor for the efficacy of the substrate drug. Dose adjustments may be required."
DB01222,Budesonide,DB01114,Chlorpheniramine,The metabolism of Chlorpheniramine can be increased when combined with Budesonide.,"The subject is a moderate inducer of the CYP3A5 enzyme, and the affected drug is a substrate of the CYP3A5 enzyme. When these drugs are administered concomitantly, the metabolism of the affected drug is increased, decreasing serum concentrations and lowering the efficacy.",1,2,"Avoid this combination when possible. If this combination is clinically required, monitor for the efficacy of the substrate drug. Dose adjustments may be required."
DB01222,Budesonide,DB01224,Quetiapine,The metabolism of Quetiapine can be increased when combined with Budesonide.,"The subject is a moderate inducer of the CYP3A5 enzyme, and the affected drug is a substrate of the CYP3A5 enzyme. When these drugs are administered concomitantly, the metabolism of the affected drug is increased, decreasing serum concentrations and lowering the efficacy.",1,2,"Avoid this combination when possible. If this combination is clinically required, monitor for the efficacy of the substrate drug. Dose adjustments may be required."
DB01222,Budesonide,DB06605,Apixaban,The metabolism of Apixaban can be increased when combined with Budesonide.,"The subject is a moderate inducer of the CYP3A5 enzyme, and the affected drug is a substrate of the CYP3A5 enzyme. When these drugs are administered concomitantly, the metabolism of the affected drug is increased, decreasing serum concentrations and lowering the efficacy.",1,2,"Avoid this combination when possible. If this combination is clinically required, monitor for the efficacy of the substrate drug. Dose adjustments may be required."
DB01222,Budesonide,DB00321,Amitriptyline,The metabolism of Amitriptyline can be increased when combined with Budesonide.,"The subject is a moderate inducer of the CYP3A5 enzyme, and the affected drug is a substrate of the CYP3A5 enzyme. When these drugs are administered concomitantly, the metabolism of the affected drug is increased, decreasing serum concentrations and lowering the efficacy.",1,2,"Avoid this combination when possible. If this combination is clinically required, monitor for the efficacy of the substrate drug. Dose adjustments may be required."
DB01222,Budesonide,DB06228,Rivaroxaban,The metabolism of Rivaroxaban can be increased when combined with Budesonide.,"The subject is a moderate inducer of the CYP3A5 enzyme, and the affected drug is a substrate of the CYP3A5 enzyme. When these drugs are administered concomitantly, the metabolism of the affected drug is increased, decreasing serum concentrations and lowering the efficacy.",1,2,"Avoid this combination when possible. If this combination is clinically required, monitor for the efficacy of the substrate drug. Dose adjustments may be required."
DB00394,Beclomethasone dipropionate,DB00514,Dextromethorphan,The metabolism of Dextromethorphan can be increased when combined with Beclomethasone dipropionate.,"The subject is an inducer of the CYP3A5 enzyme, and the affected drug is a substrate of the CYP3A5 enzyme. When these drugs are administered concomitantly, the metabolism of the affected drug is increased, leading to decreased serum concentrations and lower efficacy.[A38779,A38780,A38781]",1,2,"Avoid this combination when possible. When this combination is clinically necessary, monitor the serum concentration or efficacy of the affected drug. Dose adjustments may be required.[L46461] Refer to each product label for specific recommendations."
DB00394,Beclomethasone dipropionate,DB00758,Clopidogrel,The metabolism of Clopidogrel can be increased when combined with Beclomethasone dipropionate.,"The subject is an inducer of the CYP3A5 enzyme, and the affected drug is a substrate of the CYP3A5 enzyme. When these drugs are administered concomitantly, the metabolism of the affected drug is increased, leading to decreased serum concentrations and lower efficacy.[A38779,A38780,A38781]",1,2,"Avoid this combination when possible. When this combination is clinically necessary, monitor the serum concentration or efficacy of the affected drug. Dose adjustments may be required.[L46461] Refer to each product label for specific recommendations."
DB00394,Beclomethasone dipropionate,DB01076,Atorvastatin,The metabolism of Atorvastatin can be increased when combined with Beclomethasone dipropionate.,"The subject is an inducer of the CYP3A5 enzyme, and the affected drug is a substrate of the CYP3A5 enzyme. When these drugs are administered concomitantly, the metabolism of the affected drug is increased, leading to decreased serum concentrations and lower efficacy.[A38779,A38780,A38781]",1,2,"Avoid this combination when possible. When this combination is clinically necessary, monitor the serum concentration or efficacy of the affected drug. Dose adjustments may be required.[L46461] Refer to each product label for specific recommendations."
DB00394,Beclomethasone dipropionate,DB01114,Chlorpheniramine,The metabolism of Chlorpheniramine can be increased when combined with Beclomethasone dipropionate.,"The subject is an inducer of the CYP3A5 enzyme, and the affected drug is a substrate of the CYP3A5 enzyme. When these drugs are administered concomitantly, the metabolism of the affected drug is increased, leading to decreased serum concentrations and lower efficacy.[A38779,A38780,A38781]",1,2,"Avoid this combination when possible. When this combination is clinically necessary, monitor the serum concentration or efficacy of the affected drug. Dose adjustments may be required.[L46461] Refer to each product label for specific recommendations."
DB00394,Beclomethasone dipropionate,DB00641,Simvastatin,The metabolism of Simvastatin can be increased when combined with Beclomethasone dipropionate.,"The subject is an inducer of the CYP3A5 enzyme, and the affected drug is a substrate of the CYP3A5 enzyme. When these drugs are administered concomitantly, the metabolism of the affected drug is increased, leading to decreased serum concentrations and lower efficacy.[A38779,A38780,A38781]",1,2,"Avoid this combination when possible. When this combination is clinically necessary, monitor the serum concentration or efficacy of the affected drug. Dose adjustments may be required.[L46461] Refer to each product label for specific recommendations."
DB00394,Beclomethasone dipropionate,DB00321,Amitriptyline,The metabolism of Amitriptyline can be increased when combined with Beclomethasone dipropionate.,"The subject is an inducer of the CYP3A5 enzyme, and the affected drug is a substrate of the CYP3A5 enzyme. When these drugs are administered concomitantly, the metabolism of the affected drug is increased, leading to decreased serum concentrations and lower efficacy.[A38779,A38780,A38781]",1,2,"Avoid this combination when possible. When this combination is clinically necessary, monitor the serum concentration or efficacy of the affected drug. Dose adjustments may be required.[L46461] Refer to each product label for specific recommendations."
DB00394,Beclomethasone dipropionate,DB01224,Quetiapine,The metabolism of Quetiapine can be increased when combined with Beclomethasone dipropionate.,"The subject is an inducer of the CYP3A5 enzyme, and the affected drug is a substrate of the CYP3A5 enzyme. When these drugs are administered concomitantly, the metabolism of the affected drug is increased, leading to decreased serum concentrations and lower efficacy.[A38779,A38780,A38781]",1,2,"Avoid this combination when possible. When this combination is clinically necessary, monitor the serum concentration or efficacy of the affected drug. Dose adjustments may be required.[L46461] Refer to each product label for specific recommendations."
DB00514,Dextromethorphan,DB06228,Rivaroxaban,The metabolism of Rivaroxaban can be decreased when combined with Dextromethorphan.,"Both the subject and affected drugs are CYP3A5 substrates. Competition for metabolism may occur, as both drugs are substrates of the same metabolizing enzyme. This may result in decreased metabolism and increased serum concentration of either drug, resulting in adverse effects and toxicity.[A38779,A38780,A38781,A259611]",0,2,"Monitor the patient for adverse effects. Dose adjustments, administration at different times or treatment interruption of either drug may be required.[A259611] Refer to each product label for specific recommendations."
DB00514,Dextromethorphan,DB06605,Apixaban,The metabolism of Apixaban can be decreased when combined with Dextromethorphan.,"Both the subject and affected drugs are CYP3A5 substrates. Competition for metabolism may occur, as both drugs are substrates of the same metabolizing enzyme. This may result in decreased metabolism and increased serum concentration of either drug, resulting in adverse effects and toxicity.[A38779,A38780,A38781,A259611]",0,2,"Monitor the patient for adverse effects. Dose adjustments, administration at different times or treatment interruption of either drug may be required.[A259611] Refer to each product label for specific recommendations."
DB00758,Clopidogrel,DB01114,Chlorpheniramine,The metabolism of Chlorpheniramine can be decreased when combined with Clopidogrel.,"Both the subject and affected drugs are CYP3A5 substrates. Competition for metabolism may occur, as both drugs are substrates of the same metabolizing enzyme. This may result in decreased metabolism and increased serum concentration of either drug, resulting in adverse effects and toxicity.[A38779,A38780,A38781,A259611]",0,2,"Monitor the patient for adverse effects. Dose adjustments, administration at different times or treatment interruption of either drug may be required.[A259611] Refer to each product label for specific recommendations."
DB01114,Chlorpheniramine,DB06228,Rivaroxaban,The metabolism of Rivaroxaban can be decreased when combined with Chlorpheniramine.,"Both the subject and affected drugs are CYP3A5 substrates. Competition for metabolism may occur, as both drugs are substrates of the same metabolizing enzyme. This may result in decreased metabolism and increased serum concentration of either drug, resulting in adverse effects and toxicity.[A38779,A38780,A38781,A259611]",0,2,"Monitor the patient for adverse effects. Dose adjustments, administration at different times or treatment interruption of either drug may be required.[A259611] Refer to each product label for specific recommendations."
DB01114,Chlorpheniramine,DB06605,Apixaban,The metabolism of Apixaban can be decreased when combined with Chlorpheniramine.,"Both the subject and affected drugs are CYP3A5 substrates. Competition for metabolism may occur, as both drugs are substrates of the same metabolizing enzyme. This may result in decreased metabolism and increased serum concentration of either drug, resulting in adverse effects and toxicity.[A38779,A38780,A38781,A259611]",0,2,"Monitor the patient for adverse effects. Dose adjustments, administration at different times or treatment interruption of either drug may be required.[A259611] Refer to each product label for specific recommendations."
DB00514,Dextromethorphan,DB01076,Atorvastatin,The metabolism of Atorvastatin can be decreased when combined with Dextromethorphan.,"Both the subject and affected drugs are CYP3A5 substrates. Competition for metabolism may occur, as both drugs are substrates of the same metabolizing enzyme. This may result in decreased metabolism and increased serum concentration of either drug, resulting in adverse effects and toxicity.[A38779,A38780,A38781,A259611]",0,2,"Monitor the patient for adverse effects. Dose adjustments, administration at different times or treatment interruption of either drug may be required.[A259611] Refer to each product label for specific recommendations."
DB01076,Atorvastatin,DB01114,Chlorpheniramine,The metabolism of Chlorpheniramine can be decreased when combined with Atorvastatin.,"Both the subject and affected drugs are CYP3A5 substrates. Competition for metabolism may occur, as both drugs are substrates of the same metabolizing enzyme. This may result in decreased metabolism and increased serum concentration of either drug, resulting in adverse effects and toxicity.[A38779,A38780,A38781,A259611]",0,2,"Monitor the patient for adverse effects. Dose adjustments, administration at different times or treatment interruption of either drug may be required.[A259611] Refer to each product label for specific recommendations."
DB00641,Simvastatin,DB00448,Lansoprazole,The metabolism of Lansoprazole can be decreased when combined with Simvastatin.,"CYP2C8 mediated metabolism is at least one of the avenues by which CYP2C8 substrates are biotransformed and eliminated from the body. When such a substrate is administered concurrently with a CYP2C8 inhibitor of unknown strength, the CYP2C8 mediated metabolism of the substrate will subsequently be reduced - either slightly, moderately, or greatly. Such decreases in metabolism consequently result in increases in the serum concentration and the risk, incidence, and/or severity of adverse effects associated with exposure to the given substrate as well.",1,2,"The inhibition of the CYP2C8 mediated metabolism of a CYP2C8 substrate administered concurrently with a CYP2C8 inhibitor of unknown strength may or may not be so great that the resultant increase in the substrate's serum concentration and/or risk, incidence, or severity of adverse effects may be significant enough to have the interaction considered a contraindication. Laboratory monitoring of the serum concentrations of the agents involved and observation of signs and symptoms of adverse effects and/or toxicity in patients is essential to determining how the CYP2C8 inhibitor's unknown potency may be managed. The use of two such agents together is generally cautioned against and the use of alternative, non-interacting therapeutic agents is strongly recommended. Only if the combination therapy is absolutely required and appropriate, dosage adjustments of one or both agents based upon the monitoring of patients' clinical response to the therapy should be made as necessary. Consult the manufacturer labeling specific to individual medications for detailed information about their appropriate use."
DB00641,Simvastatin,DB01050,Ibuprofen,The metabolism of Ibuprofen can be decreased when combined with Simvastatin.,"CYP2C8 mediated metabolism is at least one of the avenues by which CYP2C8 substrates are biotransformed and eliminated from the body. When such a substrate is administered concurrently with a CYP2C8 inhibitor of unknown strength, the CYP2C8 mediated metabolism of the substrate will subsequently be reduced - either slightly, moderately, or greatly. Such decreases in metabolism consequently result in increases in the serum concentration and the risk, incidence, and/or severity of adverse effects associated with exposure to the given substrate as well.",1,2,"The inhibition of the CYP2C8 mediated metabolism of a CYP2C8 substrate administered concurrently with a CYP2C8 inhibitor of unknown strength may or may not be so great that the resultant increase in the substrate's serum concentration and/or risk, incidence, or severity of adverse effects may be significant enough to have the interaction considered a contraindication. Laboratory monitoring of the serum concentrations of the agents involved and observation of signs and symptoms of adverse effects and/or toxicity in patients is essential to determining how the CYP2C8 inhibitor's unknown potency may be managed. The use of two such agents together is generally cautioned against and the use of alternative, non-interacting therapeutic agents is strongly recommended. Only if the combination therapy is absolutely required and appropriate, dosage adjustments of one or both agents based upon the monitoring of patients' clinical response to the therapy should be made as necessary. Consult the manufacturer labeling specific to individual medications for detailed information about their appropriate use."
DB00334,Olanzapine,DB01129,Rabeprazole,The metabolism of Rabeprazole can be decreased when combined with Olanzapine.,"CYP2C19 inhibitors may decrease the metabolism of CYP2C19 substrates, increasing their exposure and risk of adverse effects.",1,2,"Use this combination with caution, and monitor for adverse effects of the substrate drug. Adjust dosage accordingly."
DB00338,Omeprazole,DB00321,Amitriptyline,The metabolism of Amitriptyline can be decreased when combined with Omeprazole.,"CYP2C19 inhibitors may decrease the metabolism of CYP2C19 substrates, increasing their exposure and risk of adverse effects.",1,2,"Use this combination with caution, and monitor for adverse effects of the substrate drug. Adjust dosage accordingly."
DB00338,Omeprazole,DB06605,Apixaban,The metabolism of Apixaban can be decreased when combined with Omeprazole.,"CYP2C19 inhibitors may decrease the metabolism of CYP2C19 substrates, increasing their exposure and risk of adverse effects.",1,2,"Use this combination with caution, and monitor for adverse effects of the substrate drug. Adjust dosage accordingly."
DB00338,Omeprazole,DB01104,Sertraline,The metabolism of Sertraline can be decreased when combined with Omeprazole.,"CYP2C19 inhibitors may decrease the metabolism of CYP2C19 substrates, increasing their exposure and risk of adverse effects.",1,2,"Use this combination with caution, and monitor for adverse effects of the substrate drug. Adjust dosage accordingly."
DB00334,Olanzapine,DB00338,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Olanzapine.,"CYP2C19 inhibitors may decrease the metabolism of CYP2C19 substrates, increasing their exposure and risk of adverse effects.",1,2,"Use this combination with caution, and monitor for adverse effects of the substrate drug. Adjust dosage accordingly."
DB00334,Olanzapine,DB00448,Lansoprazole,The metabolism of Lansoprazole can be decreased when combined with Olanzapine.,"CYP2C19 inhibitors may decrease the metabolism of CYP2C19 substrates, increasing their exposure and risk of adverse effects.",1,2,"Use this combination with caution, and monitor for adverse effects of the substrate drug. Adjust dosage accordingly."
DB00334,Olanzapine,DB00758,Clopidogrel,The metabolism of Clopidogrel can be decreased when combined with Olanzapine.,"CYP2C19 inhibitors may decrease the metabolism of CYP2C19 substrates, increasing their exposure and risk of adverse effects.",1,2,"Use this combination with caution, and monitor for adverse effects of the substrate drug. Adjust dosage accordingly."
DB00334,Olanzapine,DB06605,Apixaban,The metabolism of Apixaban can be decreased when combined with Olanzapine.,"CYP2C19 inhibitors may decrease the metabolism of CYP2C19 substrates, increasing their exposure and risk of adverse effects.",1,2,"Use this combination with caution, and monitor for adverse effects of the substrate drug. Adjust dosage accordingly."
DB00338,Omeprazole,DB01129,Rabeprazole,The metabolism of Rabeprazole can be decreased when combined with Omeprazole.,"CYP2C19 inhibitors may decrease the metabolism of CYP2C19 substrates, increasing their exposure and risk of adverse effects.",1,2,"Use this combination with caution, and monitor for adverse effects of the substrate drug. Adjust dosage accordingly."
DB00501,Cimetidine,DB01129,Rabeprazole,The metabolism of Rabeprazole can be decreased when combined with Cimetidine.,"CYP2C19 inhibitors may increase the exposure to CYP2C19 substrates, increasing the risk of adverse effects and toxicity. This occurs due to a lack of metabolism resulting from the inhibition of CYP2C19.",1,2,"Avoid the use of CYP2C19 inhibitors with CYP2C19 substrates when possible. If the concomitant administration is necessary, follow prescribing information guidelines and monitor for signs of toxicity."
DB01129,Rabeprazole,DB01175,Escitalopram,The metabolism of Escitalopram can be decreased when combined with Rabeprazole.,"CYP2C19 inhibitors may increase the exposure to CYP2C19 substrates, increasing the risk of adverse effects and toxicity. This occurs due to a lack of metabolism resulting from the inhibition of CYP2C19.",1,2,"Avoid the use of CYP2C19 inhibitors with CYP2C19 substrates when possible. If the concomitant administration is necessary, follow prescribing information guidelines and monitor for signs of toxicity."
DB00501,Cimetidine,DB00472,Fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Cimetidine.,"CYP2C19 inhibitors may increase the exposure to CYP2C19 substrates, increasing the risk of adverse effects and toxicity. This occurs due to a lack of metabolism resulting from the inhibition of CYP2C19.",1,2,"Avoid the use of CYP2C19 inhibitors with CYP2C19 substrates when possible. If the concomitant administration is necessary, follow prescribing information guidelines and monitor for signs of toxicity."
DB00501,Cimetidine,DB01104,Sertraline,The metabolism of Sertraline can be decreased when combined with Cimetidine.,"CYP2C19 inhibitors may increase the exposure to CYP2C19 substrates, increasing the risk of adverse effects and toxicity. This occurs due to a lack of metabolism resulting from the inhibition of CYP2C19.",1,2,"Avoid the use of CYP2C19 inhibitors with CYP2C19 substrates when possible. If the concomitant administration is necessary, follow prescribing information guidelines and monitor for signs of toxicity."
DB00501,Cimetidine,DB00338,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Cimetidine.,"CYP2C19 inhibitors may increase the exposure to CYP2C19 substrates, increasing the risk of adverse effects and toxicity. This occurs due to a lack of metabolism resulting from the inhibition of CYP2C19.",1,2,"Avoid the use of CYP2C19 inhibitors with CYP2C19 substrates when possible. If the concomitant administration is necessary, follow prescribing information guidelines and monitor for signs of toxicity."
DB00501,Cimetidine,DB06605,Apixaban,The metabolism of Apixaban can be decreased when combined with Cimetidine.,"CYP2C19 inhibitors may increase the exposure to CYP2C19 substrates, increasing the risk of adverse effects and toxicity. This occurs due to a lack of metabolism resulting from the inhibition of CYP2C19.",1,2,"Avoid the use of CYP2C19 inhibitors with CYP2C19 substrates when possible. If the concomitant administration is necessary, follow prescribing information guidelines and monitor for signs of toxicity."
DB00321,Amitriptyline,DB06605,Apixaban,The metabolism of Apixaban can be decreased when combined with Amitriptyline.,"CYP2C19 inhibitors may increase the exposure to CYP2C19 substrates, increasing the risk of adverse effects and toxicity. This occurs due to a lack of metabolism resulting from the inhibition of CYP2C19.",1,2,"Avoid the use of CYP2C19 inhibitors with CYP2C19 substrates when possible. If the concomitant administration is necessary, follow prescribing information guidelines and monitor for signs of toxicity."
DB00501,Cimetidine,DB00758,Clopidogrel,The metabolism of Clopidogrel can be decreased when combined with Cimetidine.,"CYP2C19 inhibitors may increase the exposure to CYP2C19 substrates, increasing the risk of adverse effects and toxicity. This occurs due to a lack of metabolism resulting from the inhibition of CYP2C19.",1,2,"Avoid the use of CYP2C19 inhibitors with CYP2C19 substrates when possible. If the concomitant administration is necessary, follow prescribing information guidelines and monitor for signs of toxicity."
DB00381,Amlodipine,DB00321,Amitriptyline,The metabolism of Amitriptyline can be decreased when combined with Amlodipine.,"CYP2C19 inhibitors may increase the exposure to CYP2C19 substrates, increasing the risk of adverse effects and toxicity. This occurs due to a lack of metabolism resulting from the inhibition of CYP2C19.",1,2,"Avoid the use of CYP2C19 inhibitors with CYP2C19 substrates when possible. If the concomitant administration is necessary, follow prescribing information guidelines and monitor for signs of toxicity."
DB01129,Rabeprazole,DB01104,Sertraline,The metabolism of Sertraline can be decreased when combined with Rabeprazole.,"CYP2C19 inhibitors may increase the exposure to CYP2C19 substrates, increasing the risk of adverse effects and toxicity. This occurs due to a lack of metabolism resulting from the inhibition of CYP2C19.",1,2,"Avoid the use of CYP2C19 inhibitors with CYP2C19 substrates when possible. If the concomitant administration is necessary, follow prescribing information guidelines and monitor for signs of toxicity."
